City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,hadibu,12.65,54.0333,23.01,61,5,2.85,YE,1734756694
304,soio,-6.1349,12.3689,26.07,81,100,1.25,AO,1734756695
305,matelandia,-25.2408,-53.9964,20.13,96,5,1.23,BR,1734756619
306,manay,7.215,126.5397,27.69,79,99,1.58,PH,1734756697
307,hargeysa,9.56,44.065,16.56,46,9,4.7,SO,1734756698
308,salinas,36.6777,-121.6555,12.82,98,100,4.12,US,1734756679
309,archangelos,36.2149,28.1149,14.99,88,100,3.51,GR,1734756701
310,adh dhibiyah,24.5014,45.9686,14.83,65,38,5.9,SA,1734756702
311,mancio lima,-7.6142,-72.8958,22.91,86,45,0.9,BR,1734756703
312,jacksonville,30.3322,-81.6556,12.21,69,0,4.12,US,1734756481
313,boromo,11.75,-2.9333,15.85,29,0,2.91,BF,1734756705
314,kodiak,57.79,-152.4072,4.73,93,100,9.77,US,1734756706
315,myeik,12.4333,98.6,28.54,41,75,0.45,MM,1734756707
316,okhotsk,59.3833,143.3,-13.69,84,100,5.89,RU,1734756708
317,fomboni,-12.28,43.7425,27.43,73,7,3.38,KM,1734756709
318,la passe,45.5549,-0.8967,11.17,92,85,7.48,FR,1734756710
319,oamaru,-45.0784,170.9801,16.88,90,95,2.05,NZ,1734756711
320,masterton,-40.9597,175.6575,19.89,75,94,3.12,NZ,1734756555
321,inhambane,-23.865,35.3833,26.99,94,40,0.0,MZ,1734756713
322,nova sintra,14.8667,-24.7167,23.83,70,100,3.16,CV,1734756715
323,yala,6.3333,101.25,27.57,80,85,2.03,TH,1734756717
324,longgang,37.6508,120.3286,1.22,53,100,9.9,CN,1734756718
325,wenshui,28.4506,106.5267,3.64,96,100,0.55,CN,1734756720
326,mejit,10.2753,170.8646,27.26,79,62,9.31,MH,1734756721
327,zimovniki,47.1483,42.4633,1.0,95,11,6.12,RU,1734756722
328,toliara,-23.35,43.6667,30.4,55,65,2.77,MG,1734756723
329,valparaiso,-33.0393,-71.6273,15.8,77,0,2.06,CL,1734756724
330,tan-tan,28.438,-11.1032,15.99,87,50,8.13,MA,1734756725
331,koulikoro,14.0,-7.75,14.01,32,100,3.56,ML,1734756726
